"#n iters","initial #n node","rule"
8,13,"step_split_merge"

"#n thread per rank","#n task per node","#n node","#n object","total_proba","execution time","pre-symbolic","symbolic_iteration","collisions","pre-final","final_iteration","communication"
1,36,41,3916786911,4.140360e-01,13.151244,0.89396,1.48315,2.7941419999999995,2.562957,1.352513,2.313329
1,36,38,4273461307,4.382780e-01,16.016938,1.391099,1.956482,3.0859270000000003,3.3697299999999997,1.61113,2.72863
1,36,35,3768140221,4.077910e-01,13.14653,0.914439,1.525364,2.7260860000000005,2.7179450000000003,1.510192,2.215746
1,36,32,3508051240,3.975480e-01,13.743887,1.018832,1.694678,2.9444799999999995,2.751744,1.545347,2.41179
1,36,29,3130845852,3.687770e-01,13.529927,1.345824,1.488714,2.585598,2.745402,1.519272,2.513355
1,36,26,3313010482,3.816090e-01,15.764971,1.267808,2.318533,3.164402,3.076733,1.827189,2.365697
1,36,23,2712164570,3.287550e-01,15.241241,1.722834,1.981629,2.718896,3.067283,1.682743,2.6431839999999998
1,36,20,2633030816,3.231270e-01,15.742068,1.879706,1.91153,2.5217490000000002,3.204579,1.874163,2.611257
1,36,18,2477963335,3.057790e-01,15.284905,1.504907,1.983264,2.6183009999999998,3.054372,1.950763,2.224272
1,36,16,2120618788,2.664710e-01,15.572462,2.662158,1.851391,2.485043,2.782704,1.825431,3.322729
1,36,14,1988519219,2.622930e-01,14.128047,2.7247599999999994,2.208456,2.479645,2.279654,1.961309,3.102595
1,36,12,1805021771,2.305760e-01,18.5046,2.180883,3.014847,3.2629219999999997,3.108364,2.140194,2.502411
1,36,10,1473110284,1.881440e-01,17.930447,4.714673,1.940978,2.2969470000000003,2.508824,1.98292,4.996839
1,36,8,1208653898,1.400650e-01,18.942481,4.4733089999999995,3.439326,3.420122,2.524203,2.011945,4.37864
1,36,6,1016364417,1.305810e-01,21.640512,5.851580000000001,4.249503,3.838433,2.9021519999999996,2.24447,5.48846
1,36,4,607297066,1.034070e-01,21.992547,5.412947000000001,3.500104,3.347532,2.888065,1.97485,5.282417
1,36,2,368783780,7.000330e-02,19.979088,2.764566,5.380063,4.203332,3.180606,2.2597,1.760259
1,36,1,174516344,4.260330e-02,12.025679,2.218908,2.973882,1.9387210000000001,2.165545,1.8019679999999998,0.922154
