"#n iters","initial #n node","rule"
18,11,"step_split_merge"

"step_accuracy",,"min_memory_usage","max_memory_usage","avg_memory_usage"
1.0,,0.043326,0.043433,0.043394
1.0,,0.043379,0.043516,0.043442
1.0,,0.043425,0.043537,0.043494
1.0,,0.043495,0.043574,0.043531
1.0,,0.043689,0.043786,0.043736
1.0,,0.046117,0.046237,0.046164
1.0,,0.076163,0.076839,0.076497
1.0,,0.462321,0.469782,0.465314
0.041655,,0.921723,0.922747,0.922317
0.083979,,0.93109,0.938129,0.93486
0.061409,,0.917956,0.927351,0.920819
0.069611,,0.922257,0.930037,0.925816
0.063788,,0.918563,0.923239,0.920627
0.07699,,0.920188,0.926484,0.92438
0.077048,,0.918242,0.927114,0.921231
0.089173,,0.920167,0.929411,0.923729
0.091928,,0.920514,0.922164,0.921544
0.107848,,0.91957,0.926663,0.922681
