"#n iters","initial #n node","rule"
5,15,"step_erase_create_step_split_merge"

"#n thread per rank","#n task per node","#n node","","#n object","#n symb. object","total_proba","","execution time","pre-symbolic-iteration","symbolic-iteration","collisions","pre-object-generation","object-generation","communication","","time inbalance","NoO inbalance","NoO symb. inbalance"
1,36,43,,26130026109,146206338372,1.669700e-01,,198.482353,14.771301000000001,77.165245,41.135636000000005,23.7817,10.708910999999999,26.518535,,43.701614,0.21504561955319001,0.5050266487398118
1,36,42,,25511131838,142753218048,1.596510e-01,,159.75275,12.476887999999999,58.255218,34.055475,19.516596,10.516764,21.507666,,33.362336,0.212024995790797,0.3311882896485483
1,36,41,,25041766823,139302453456,1.650210e-01,,155.903016,12.056970000000002,55.71119,34.303909,18.838525,10.496336999999999,21.485216,,31.847688,0.2178672865497733,0.31424465170356536
1,36,38,,23201358474,128918638728,1.560460e-01,,147.420216,11.93362,49.807618,33.316024999999996,17.730221,10.567377,20.70764,,28.163836,0.214460078084124,0.2450157975134162
1,36,35,,21582417038,118563823980,1.440080e-01,,150.965557,12.057068,52.592677,32.854472,18.994045,10.654067999999999,20.412491,,30.08756,0.21083120020611137,0.28645568237465113
1,36,32,,19914092163,108143372160,1.476910e-01,,147.61605,12.237703999999999,49.892776,33.295342,18.397065,10.629882,19.988185,,28.822528,0.20392742106320919,0.2509940732721865
1,36,29,,18177713210,97644243636,1.545080e-01,,155.816677,12.738989000000002,54.403564,33.675624,20.86235,10.741503,20.238145,,32.270515,0.21166483719089715,0.32892121493419535
1,36,26,,16444056649,87259355352,1.482020e-01,,139.365001,12.106841,45.960799,30.933176000000003,17.834343,10.865169,18.975895,,25.857708,0.2108150548022796,0.2218226421231917
1,36,23,,14689158362,76543246980,1.395720e-01,,139.119349,12.533015,44.093728,30.98461,18.713433000000002,11.074483999999998,18.641752,,26.410482,0.19430912928896607,0.1633326224708082
1,36,20,,12913015431,66178310400,1.341370e-01,,141.35851,12.510633,46.252026,30.218844,18.133337,11.174536,19.463696,,26.749745,0.2034623902306993,0.22783259545568538
1,36,18,,11902497402,59740832664,1.404250e-01,,131.461165,11.091779,47.983494,26.494969,15.566423,8.588054999999999,18.744572,,21.851333,0.18822577643754454,0.2367224751233841
1,36,16,,10740935620,52931986560,1.338180e-01,,126.081526,11.087671,43.083993,25.340266999999997,15.382417,8.673366,19.141448,,16.701768,0.18993993098405965,0.1465960477831794
1,36,14,,9537591877,46162253592,1.394080e-01,,126.949928,11.174111,44.842992,24.973407,15.271442,8.779791999999999,18.52702,,17.333073,0.18370556321769968,0.1986932540096713
1,36,12,,8340978131,39216240720,1.294650e-01,,125.7927,11.077785,45.124245,24.345247999999998,15.230379999999998,8.937186,18.182267,,17.512699,0.17500843539665661,0.19958831562668478
1,36,10,,7158491638,32427089280,1.128180e-01,,118.497593,10.957621,40.283262,23.034278,14.667753,9.110904999999999,17.097424,,13.004415,0.16398445981138005,0.10935818386733775
1,36,8,,5829945659,26133876000,9.498690e-02,,121.16408,10.789337,43.40635,24.123151999999997,15.24239,9.034199999999998,15.403720999999999,,15.699138,0.16472673325168702,0.14393388190923675
1,36,6,,4422618479,19963312488,9.205380e-02,,115.106236,10.282561000000001,40.346819,22.762449,15.201855,8.935037999999999,14.090857,,11.506178,0.15177022174015764,0.1014596812172342
1,36,4,,2953559159,13798434528,9.244160e-02,,114.432439,10.273514,40.982185,23.112227,15.175461,8.787826999999998,13.034923000000001,,10.085324,0.1530477544337354,0.054147322196209144
1,36,2,,1466217247,7690090536,8.272690e-02,,115.944744,10.379926,44.143753,24.951973,16.051071,8.319768999999999,9.554763000000001,,8.652897,0.12930002359756249,0.058608412135254855
1,36,1,,756644599,3954058164,8.881020e-02,,111.361617,10.129189999999998,43.598496,24.991326,16.140653,8.383438,5.5646,,6.869518,0.09629068003618382,0.02202342650098616
