"#n iters","initial #n node","rule"
13,14,"step_erase_create"

"#n thread per rank","#n task per node","#n node","","#n object","#n symb. object","total_proba","","execution time","pre-symbolic","symbolic_iteration","collisions","pre-final","final_iteration","communication","","time inbalance","NoO inbalance","NoO symb. inbalance"
1,36,41,,72127552,24321435012,1.000000e+00,,11.174852,0.44732999999999995,3.500157,5.690159,0.007951,0.016711,3.403565,,13.234016,0.415269305468173,0.03225212142739305
1,36,38,,72127552,24321438072,1.000000e+00,,11.906068,0.41783000000000003,3.774431,6.029768,0.008779,0.017818,3.465345,,13.50275,0.40652498327587094,0.03180010942795277
1,36,35,,72127552,24321438540,1.000000e+00,,12.868553,0.420001,4.107188,6.654633,0.008486,0.023456,3.798889,,12.074298,0.40395096989170537,0.03300498558228916
1,36,32,,72127552,24321439872,1.000000e+00,,13.923239,0.394845,4.494348,7.01163,0.010099,0.020866,3.766032,,13.503055,0.3885776150721014,0.03821797301708168
1,36,29,,72127552,24321438468,1.000000e+00,,15.007807,0.4744,4.952134,7.513617,0.01057,0.022658,3.89045,,12.773706,0.37830804834147597,0.03366690116658177
1,36,26,,72127552,24321438648,1.000000e+00,,16.741295,0.5505180000000001,5.524697,8.433867999999999,0.011488,0.024221,4.454145,,12.557879,0.392926282426458,0.03032829417899027
1,36,23,,72127552,24321439332,1.000000e+00,,18.689523,0.605653,6.23769,9.441781,0.012473,0.027202999999999998,4.8186160000000005,,12.180024,0.38088817045334544,0.036496670479299435
1,36,20,,72127552,24321439440,1.000000e+00,,20.518751,0.461946,7.169383,10.541513,0.014551,0.030079,4.8437730000000006,,10.883303,0.36863601002679575,0.028659311535169523
1,36,18,,72127552,24321439728,1.000000e+00,,23.287336,0.544608,7.96767,11.560668,0.016372,0.033681,5.096693,,13.324311,0.35952359030344483,0.03248390531526084
1,36,16,,72127552,24321440448,1.000000e+00,,24.464864,0.6373960000000001,8.964644,13.278834999999999,0.018371,0.03717,5.952008,,6.072956,0.35147565436658734,0.028208177424643408
1,36,14,,72127552,24321439296,1.000000e+00,,27.396353,0.6597890000000002,10.252858,14.754978999999999,0.019002,0.042776999999999996,6.277776,,5.814287,0.3581899821622619,0.02735193406342369
1,36,12,,72127552,24321440592,1.000000e+00,,35.089504,0.705333,11.965151,17.31721,0.02293,0.048541999999999995,7.038297,,14.169058,0.3483933414216386,0.03483712238247783
1,36,10,,72127552,24321440880,1.000000e+00,,37.841368,0.8265149999999999,14.343749,20.434872000000002,0.026718000000000002,0.056473,8.204395,,5.571426,0.3381470700389252,0.030414277584736405
1,36,8,,72127552,24321441024,1.000000e+00,,47.271359,0.9045920000000002,17.936074,25.177999,0.031738,0.067882,9.808939,,6.566353,0.3258045658728694,0.03669588704440009
1,36,6,,72127552,24321441240,1.000000e+00,,61.568514,1.167036,23.882613,32.849662,0.042152,0.081799,12.481533,,5.679046,0.32412181778225013,0.03346541409375941
1,36,4,,72127552,24321441168,1.000000e+00,,89.455765,1.593597,35.800867,46.441689000000004,0.060333,0.12317800000000001,16.775851,,6.012505,0.3064984468732544,0.03807380020038153
