"#n iters","initial #n node","rule"
9,17,"step_erase_create"

"#n thread per rank","#n task per node","#n node","","#n object","#n symb. object","total_proba","","execution time","pre-symbolic-iteration","symbolic-iteration","collisions","pre-object-generation","object-generation","communication","","time inbalance","NoO inbalance","NoO symb. inbalance"
1,36,38,,4281670558,107720014968,7.577520e-01,,63.387201,3.261345,18.492055,29.794239000000005,0.362626,0.6148980000000001,13.103187,,15.519955,0.7547202441453972,0.007063891544529879
1,36,35,,4128211713,98934908940,7.464670e-01,,62.780841,3.168255,18.446865,29.603350000000002,0.382816,0.638846,12.847674000000001,,15.221544,0.7042467676749087,0.007929248621191957
1,36,32,,4012323020,90110787840,7.351910e-01,,64.441442,3.6655349999999998,18.393363,29.427863,0.405318,0.681767,13.157927,,16.908611,0.7549227521420949,0.0065690685541927646
1,36,29,,3865173647,81358299864,7.236710e-01,,63.382792,3.506751,18.301371,29.097058,0.43631099999999995,0.7134579999999999,12.715041000000001,,16.240169,0.6865339936197574,0.007540129025606093
1,36,26,,3649795935,72708476256,7.099340e-01,,61.104324,3.3716470000000003,18.25384,27.82319,0.440755,0.749233,12.303906,,15.724848,0.6860444441495458,0.007521525591789596
1,36,23,,3473260866,63977455224,6.946360e-01,,62.173003,3.600479,18.155258,27.603721999999998,0.477125,0.805868,12.359537,,17.352956,0.698335115079573,0.0073955128330627125
1,36,20,,3227263903,55302829200,6.793790e-01,,61.037694,3.6838699999999998,18.027623,27.258074,0.508186,0.8568260000000001,12.197391999999999,,16.270608,0.6662186751030582,0.00807092935750447
1,36,18,,3091048877,49370012568,6.675890e-01,,56.051998,3.7466369999999998,17.867338,26.31125,0.532654,0.886601,12.150201,,9.849808,0.6720887301806081,0.007210285631186832
1,36,16,,2900604008,43679840832,6.528770e-01,,59.923707,3.48452,17.804126,26.235702,0.56873,0.959803,11.693475,,16.719747,0.5580015678391463,0.008317491637928257
1,36,14,,2719898657,37963145304,6.342830e-01,,53.832369,3.6486429999999994,17.675676,24.774206999999997,0.590858,0.993108,11.601181,,9.376595,0.5862652927461198,0.0077448872523192365
1,36,12,,2513780899,32287678272,6.179350e-01,,55.939123,4.091034,17.534629,24.405922,0.640478,1.0748950000000002,11.762919,,12.589094,0.6440167952014244,0.007934717481720326
1,36,10,,2273964401,26720440920,5.897920e-01,,53.959636,3.8647620000000003,17.399598,23.85091,0.68927,1.151664,11.276494,,10.895902,0.5746579608943554,0.008234889205393326
1,36,8,,2032274360,21060007776,5.689930e-01,,52.450178,3.845903,17.141164,23.232226,0.761158,1.273574,10.763795,,9.6398,0.5139420861274268,0.007983084452603843
1,36,6,,1686116068,15611483808,5.349330e-01,,51.945362,4.051049,16.950065,22.294491,0.825646,1.4083530000000002,10.376185,,9.944389,0.5218463324049363,0.009606443899586651
1,36,4,,1348012886,10200001104,4.868940e-01,,50.705809,3.9303109999999997,16.585197,21.198725000000003,0.998947,1.667953,9.121322,,9.985938,0.47333906652719693,0.008394663883415112
1,36,2,,860841313,4879398384,4.133540e-01,,45.246708,3.383369,15.86983,18.077842000000004,1.24135,2.0871020000000002,5.734316,,7.726913,0.3923489405173755,0.004077570747981892
1,36,1,,527420464,2349752544,3.342680e-01,,43.671369,3.7129280000000002,15.2675,15.16478,1.5560310000000002,2.532639,3.521171,,9.477276,0.3345983056049211,0.001972067929118582
