"#n iters","initial #n node","rule"
11,15,"step_erase_create"

"#n thread per rank","#n task per node","#n node","","#n object","#n symb. object","total_proba","","execution time","pre-symbolic-iteration","symbolic-iteration","collisions","pre-object-generation","object-generation","communication","","time inbalance","NoO inbalance","NoO symb. inbalance"
1,36,41,,1081853651,210364945776,3.820790e-01,,101.878594,2.10355,30.336953,52.65648099999999,0.099745,0.20507,23.596466999999997,,15.545741,0.3770078752654765,0.008506339830403583
1,36,38,,1081030645,199141978896,3.637720e-01,,103.197017,2.2105439999999996,31.005989,52.860717,0.113365,0.210145,22.914628,,15.122554,0.36497929078439906,0.013092001932330363
1,36,35,,1080822719,184177258020,3.524250e-01,,99.003473,2.2263740000000003,31.171401,51.053192,0.125196,0.234096,20.571652,,13.095681,0.3526029431583064,0.005970220404099684
1,36,32,,1079592431,168237866880,3.216330e-01,,98.125216,2.232827,31.123027,50.805079000000006,0.133763,0.251146,20.176954,,12.687648,0.3467149513586782,0.005559998446372787
1,36,29,,1078267265,152271824472,2.929710e-01,,96.857865,2.224662,31.055872,50.806182,0.143553,0.26596000000000003,19.933776,,11.725255,0.33850181352805214,0.005664486763873427
1,36,26,,1076623684,136367197200,2.556320e-01,,95.909418,2.4040039999999996,30.99613,48.938215,0.16091499999999997,0.282162,19.716522,,12.60487,0.35263522338169484,0.0059094339763741364
1,36,23,,1074322618,120334646772,2.226540e-01,,95.93942,2.518328,30.924327,48.613355,0.18166700000000002,0.316311,19.484008000000003,,12.927986,0.3381727457045799,0.006130726481565278
1,36,20,,1069160179,104388886080,1.897300e-01,,96.936801,2.650758,30.868649,48.558245,0.209753,0.35312200000000005,19.296619,,13.439378,0.33479808957571927,0.006612404023574104
1,36,18,,1066018841,93754326096,1.698640e-01,,95.833573,2.821391,30.785427,48.716190999999995,0.229452,0.377539,19.178628,,12.226839,0.3331295996894285,0.006829959977230264
1,36,16,,1060680120,83068314048,1.536860e-01,,87.812244,2.743307,30.687431,48.403015999999994,0.248641,0.408544,18.764065,,4.491943,0.3305425134703732,0.0037181070891606376
1,36,14,,1053320234,72341110800,1.267320e-01,,85.999817,2.8651989999999996,30.57154,46.496904,0.271209,0.452725,18.458817,,4.492458,0.32913132812910095,0.004047468013199807
1,36,12,,1044134147,61184322864,1.147930e-01,,83.037794,2.996577,30.130677,45.112849,0.307207,0.504889,18.110930000000003,,3.956909,0.3264194094183958,0.004448842893293536
1,36,10,,1031211949,50321518560,9.480930e-02,,83.464499,3.229195,29.734172,44.567001,0.361845,0.581302,17.771225,,4.391076,0.32186480931227274,0.00506614678212252
1,36,8,,1008162996,39486173760,7.548460e-02,,88.949342,3.572768999999999,29.164105,44.105684,0.42926200000000003,0.730464,17.102856,,11.248945,0.33775041625571356,0.0045134848369952265
1,36,6,,969449874,29304921312,5.199870e-02,,75.618909,3.555102,28.586714,38.129016,0.48713799999999996,0.822783,16.319016,,4.258397,0.3122233606410659,0.007466402855141145
1,36,4,,896316799,18853912224,3.858240e-02,,75.552564,4.130960000000001,27.618493,35.565775,0.658217,1.0965099999999999,14.611317000000001,,6.896409,0.2987506289616715,0.005251254430121026
1,36,2,,720870191,9075088440,2.120530e-02,,68.246786,4.172915,26.572951,29.193866,0.97922,1.683375,9.327538,,7.001671,0.2707533386095272,0.0037778667257704845
1,36,1,,514369608,4422957552,1.037790e-02,,65.125335,4.995379,25.991652,24.600611,1.369248,2.355802,4.710014,,7.150356,0.28236154929739415,0.0017008959020311002
