"#n iters","initial #n node","rule"
9,17,"step_erase_create"

"#n thread per rank","#n task per node","#n node","","#n object","#n symb. object","total_proba","","execution time","pre-symbolic-iteration","symbolic-iteration","collisions","pre-object-generation","object-generation","communication","","time inbalance","NoO inbalance","NoO symb. inbalance"
1,36,41,,3688969791,124810213140,8.392820e-01,,58.432372,2.478971,20.611973,17.512241,1.3793989999999998,1.89853,13.411191,,0.18202,3.7595207823813266,0.00618666572689742
1,36,38,,3516278896,115333101864,8.329530e-01,,59.048063,2.7245809999999997,20.479417,17.610402999999998,1.829713,2.5757000000000003,12.775564,,0.210173,4.443005771807319,0.006444585812635679
1,36,35,,3385552880,105992793900,8.256230e-01,,57.650641,2.6522370000000004,20.447903,17.599941,1.41628,1.97584,12.503894,,0.187868,3.6230442219010097,0.006043798794514086
1,36,32,,3244040068,96659114112,8.154350e-01,,57.589866,2.3649919999999995,20.469256,17.426679999999998,1.22568,1.67698,13.359085,,0.166248,2.7255012831107823,0.007093791643957086
1,36,29,,3215445472,87406920576,7.555730e-01,,65.379973,3.283187,20.463956,17.391697,2.40637,2.9739489999999997,17.427605,,0.213688,4.801379877106661,0.010169522620661555
1,36,26,,3194351202,78081865056,7.029380e-01,,67.111353,3.6316010000000003,20.519512,17.136575,3.4684999999999997,3.8494420000000003,16.95767,,0.267282,4.9734307841365,0.015869136516031328
1,36,23,,2955706430,68862932604,7.172490e-01,,62.925625,3.455484,20.43882,17.097403,1.980051,3.217451,15.343126000000002,,0.229255,3.7711035198748077,0.013529888907837196
1,36,20,,2707583956,59515880400,7.297310e-01,,60.378571,3.1861599999999997,20.139725,17.302705,2.301703,2.733112,13.410677999999999,,0.236024,3.140310410883928,0.012170959332729622
1,36,18,,2695046321,53300234304,6.833360e-01,,58.584014,2.9522350000000004,20.046631,13.486723,2.911785,3.131672,14.641352000000001,,0.175098,3.471865008746105,0.014386752516441621
1,36,16,,2517888060,47126745792,6.846450e-01,,59.447167,2.948974,19.973133,14.718303000000002,2.383754,3.142742,14.83666,,0.18444,3.0770958952670795,0.014718176787792239
1,36,14,,2365421642,41014997352,6.743240e-01,,56.767482,2.9861380000000004,20.005287,12.930219999999998,3.063367,3.1057989999999998,13.218493,,0.18174,3.193629246548557,0.015319462844470014
1,36,12,,2191350327,34847226432,6.771760e-01,,59.237044,3.214402,19.650581,12.956537,2.636287,3.316259,15.940253000000002,,0.17023,3.3180167918112824,0.014853404101185255
1,36,10,,1979130169,28847322360,6.455750e-01,,61.595119,3.694243,19.690513,16.227843,3.4072389999999997,3.452922,13.86766,,0.277704,3.0469642515574193,0.026040274748051175
1,36,8,,1983760394,22481562816,5.575280e-01,,58.146428,3.6076100000000006,19.634607,13.248,3.482394,3.492734,13.121271,,0.220263,2.2967786399561385,0.03456838398471595
1,36,6,,1649472231,16628516352,5.472670e-01,,57.027524,3.4641120000000005,19.03728,12.881406000000002,3.576847,3.493137,13.051289,,0.202305,1.9891342195173856,0.032518343582406455
1,36,4,,1153675534,11109972816,5.853470e-01,,57.006693,3.4370890000000003,18.782097,12.379116,3.779297,3.695015,13.293562999999999,,0.196199,1.9123879893195985,0.017504312136563557
1,36,2,,785775073,5303250792,5.047490e-01,,49.508514,3.48944,18.363742,11.536549,3.804024,3.5787190000000004,7.1467160000000005,,0.189894,1.165777611569482,0.04321456121700231
1,36,1,,397148531,2668735116,4.920930e-01,,42.482879,3.4140779999999995,17.858375,11.087445,2.2742,2.990043,3.577527,,0.133299,1.0528091703263147,0.0013579242009719185
1,36,1,,397148531,2668735116,4.920930e-01,,42.482879,3.4140779999999995,17.858375,11.087445,2.2742,2.990043,3.577527,,0.133299,1.0528091703263147,0.0013579242009719185
1,36,1,,397148531,2668735116,4.920930e-01,,42.482879,3.4140779999999995,17.858375,11.087445,2.2742,2.990043,3.577527,,0.133299,1.0528091703263147,0.0013579242009719185
