"#n iters","initial #n node","rule"
10,11,"step_split_merge"

"#n thread per rank","#n task per node","#n node","","#n object","#n symb. object","total_proba","","execution time","pre-symbolic","symbolic_iteration","collisions","pre-final","final_iteration","communication","","time inbalance","NoO inbalance","NoO symb. inbalance"
1,36,41,,6554727788,14590857780,3.379450e-01,,27.791509,7.060487000000001,3.577778,6.006169,3.476371,2.217065,9.185891999999999,,18.487547,0.13859866468323007,0.1515416675964851
1,36,38,,6123755011,13965433200,3.240020e-01,,25.763197,7.41671,3.694344,5.833659,2.957534,2.2211230000000004,9.237922,,12.693248,0.16736469832562448,0.19830722291137304
1,36,35,,5961718368,13425622560,3.088670e-01,,29.075372,8.163915,3.860921,5.801009,3.855333,2.3591640000000003,9.67755,,15.97109,0.12641386725995615,0.12636343064041639
1,36,32,,5438060467,12490061184,2.920650e-01,,28.565897,7.036063999999999,3.928226,5.660845,3.943692,2.368395,8.357764,,18.338654,0.22015416599650922,0.16590707391362414
1,36,29,,4735262477,11351259576,2.821350e-01,,28.187351,6.9831140000000005,3.95493,5.513851,3.7279489999999997,2.2839840000000002,8.186399,,19.060189,0.19388817187459612,0.1952462566198971
1,36,26,,4293289584,10085029344,2.797960e-01,,27.906619,7.302373,3.935942,5.042471,3.597988,2.300602,8.213076000000001,,19.264712,0.2819496491262229,0.25065025431883
1,36,23,,4130533661,10111562496,2.764960e-01,,25.592514,4.0435740000000004,4.470296,5.45507,4.226806,2.5117220000000002,4.698021,,17.751613,0.11082656894182318,0.118612047124252
1,36,20,,3576221590,8738030880,2.467430e-01,,26.965947,5.10825,4.416287,5.256170999999999,4.345591,2.4847200000000003,5.691103,,18.593217,0.15850405012819,0.20602655878115894
1,36,18,,3248976794,7638065424,2.311370e-01,,25.631323,7.999509000000001,4.292083,4.972106,3.2697089999999998,2.435957,8.368091,,8.881591,0.15923854609130156,0.14013284999838052
1,36,16,,2854935247,7169478912,2.348520e-01,,25.418983,5.150443,4.536651,5.1726719999999995,4.013737,2.4246369999999997,5.569382,,14.836811,0.1379161140451099,0.21824247360479623
1,36,14,,2435622297,6197397192,2.304510e-01,,27.003673,6.895577,4.494479,5.092678,3.9160939999999997,2.354933,7.383412,,14.465947,0.13687761915275115,0.2367514263865371
1,36,12,,2210808402,5819580432,2.275890e-01,,27.810111,5.488278,4.938692,5.270844,3.977216,2.575411,5.818985,,18.810128,0.11198838818572279,0.20719068359593856
1,36,10,,1981837655,4623684840,2.057110e-01,,21.908379,3.9949420000000004,4.679576,4.776604,3.3566390000000004,2.643496,3.870593,,9.302778,0.13332321116847706,0.1060333359690133
1,36,8,,1634695539,3516046272,1.967690e-01,,22.138438,4.391431000000001,4.456117,4.441606999999999,3.4194699999999996,2.738601,4.147751,,10.344777,0.0664545007866065,0.12443292687474791
1,36,6,,1165674283,3008083392,1.647860e-01,,24.874654,4.88605,5.099785,4.97731,4.095124,2.6140920000000003,4.569623,,11.130465,0.19087282767806124,0.1335818718480205
1,36,4,,971273005,2641210704,1.781280e-01,,24.35385,3.0357719999999997,6.811765,5.967031,3.79688,3.3007820000000003,2.352724,,4.165148,0.0214871702860942,0.007392277379058658
1,36,2,,428411550,1220849928,1.220900e-01,,29.16708,4.904717000000001,6.27249,5.147452,5.009016,2.833048,4.015644,,15.613427,0.1858844831880542,0.2236694294154824
1,36,1,,269342084,307207080,1.373450e-01,,14.392404,2.003889,3.097056,2.1423360000000002,2.8933400000000002,3.176483,0.682965,,4.857213,0.010175133958181638,7.265404767417988e-06
