"#n iters","initial #n node","rule"
16,14,"step_split_merge"

"#n thread per rank","#n task per node","#n node","","#n object","#n symb. object","total_proba","","execution time","pre-symbolic-iteration","symbolic-iteration","collisions","pre-object-generation","object-generation","communication","","time inbalance","NoO inbalance","NoO symb. inbalance"
1,36,42,,263995200,3212770176,2.080320e-01,,3.352165,0.153275,1.289609,0.49635399999999996,0.07979800000000001,0.19306800000000002,0.7654150000000001,,19.843008,0.0,0.10030972730024917
1,36,41,,263991456,3219315408,2.044050e-01,,3.55817,0.15589500000000003,1.314903,0.511046,0.081472,0.194649,0.7032079999999999,,20.108629,0.0,0.10045160784766587
1,36,38,,263991168,3223906776,2.072360e-01,,4.342245,0.18008199999999996,1.458575,0.5881460000000001,0.089726,0.20679,0.94784,,20.744658,0.0,0.0970389525200188
1,36,35,,263995200,3213095760,2.072840e-01,,4.87727,0.20599399999999998,1.545873,0.615262,0.106567,0.231618,0.884165,,20.739993,0.0,0.10480931251404178
1,36,32,,263992320,3225132288,2.056500e-01,,5.446983,0.219081,1.707103,0.6590800000000001,0.11071500000000001,0.253838,0.922201,,20.230451,0.0,0.1003511067607493
1,36,29,,263998368,3201572160,2.095590e-01,,4.451708,0.235923,1.855461,0.74021,0.123417,0.285402,0.876495,,20.737426,0.0,0.09912228287532115
1,36,26,,263996928,3201500016,2.078790e-01,,5.148537,0.272835,2.050296,0.7832479999999999,0.14296799999999998,0.30839,1.0692439999999999,,19.505446,0.0,0.09835704302540697
1,36,23,,263999520,3190277376,2.118780e-01,,5.819146,0.320054,2.312358,0.9294439999999999,0.17359,0.338675,1.004115,,21.031953,0.0,0.09972363117051593
1,36,20,,263998080,3184125120,2.098320e-01,,7.051127,0.38605100000000003,2.654742,1.078738,0.1982,0.406692,1.226582,,20.833799,0.0,0.09630499080242648
1,36,18,,263995200,3182200992,2.105030e-01,,8.023997,0.42425399999999996,2.951317,1.277028,0.23089099999999999,0.445041,1.258354,,21.816337,0.0,0.10123456609364957
1,36,16,,263996928,3206689344,2.114270e-01,,8.369437,0.38559999999999994,3.335125,1.076317,0.26173399999999997,0.395951,1.30844,,15.364808,0.0,0.09650398064983524
1,36,14,,263999232,3198393576,2.117440e-01,,8.876391,0.458773,3.751881,1.226536,0.312152,0.448178,1.527668,,15.076099,0.0,0.1010940386536905
1,36,12,,263996928,3188539728,2.085470e-01,,10.54486,0.54063,4.340447,1.457388,0.379476,0.540719,1.7358740000000001,,14.949751,0.0,0.09061855585000837
1,36,10,,263998080,3203143200,2.136270e-01,,12.101046,0.652236,5.20539,1.827113,0.475647,0.666935,1.703543,,15.696112,0.0,0.09445986875315497
1,36,8,,263999232,3191419008,2.136930e-01,,14.363312,0.810215,6.451668,2.295947,0.624546,0.782245,1.842693,,14.820529,0.0,0.09047530482284678
1,36,6,,263998656,3147465168,2.171070e-01,,18.268186,1.0443030000000002,8.515093,3.1481260000000004,0.847731,1.047134,2.282544,,14.741636,0.0,0.09476930952201978
1,36,4,,263999232,3133864656,2.136080e-01,,25.322296,1.584738,12.503241,4.797791,1.336652,1.458838,2.799296,,13.605267,0.0,0.0881347886003802
1,36,2,,263999808,3129250680,2.147050e-01,,47.908773,3.1310450000000003,24.312199,9.857761,2.7974680000000003,2.845144,3.6799109999999997,,11.981914,0.0,0.08814691475559844
1,36,1,,263999808,3122781012,2.150190e-01,,90.512184,6.181686,48.024176,19.909255,5.912427,5.700677,3.908407,,11.179242,0.0,0.07471860299527605
