"#n iters","initial #n node","rule"
10,14,"step_split_merge"

"#n thread per rank","#n task per node","#n node","","#n object","#n symb. object","total_proba","","execution time","pre-symbolic-iteration","symbolic-iteration","collisions","pre-object-generation","object-generation","communication","","time inbalance","NoO inbalance","NoO symb. inbalance"
1,36,41,,11874052958,59279119380,3.916470e-01,,63.460365,3.371223,20.243057,11.895895,9.159973,7.293518,9.788832,,0.267247,0.17487304672384013,0.17760047089282519
1,36,38,,11238039024,54548868672,3.862660e-01,,63.297386,3.278699,20.491339,11.771412000000002,9.462828,7.4845239999999995,9.119123,,0.285682,0.17939703902602977,0.17288929397798675
1,36,35,,10615176222,49787520300,3.814100e-01,,63.62596,3.515826,20.633555,11.714114,9.338999,7.674098,9.069246,,0.298707,0.1627591713269788,0.18326103178109074
1,36,32,,9990647937,44741808000,3.752170e-01,,62.178609,3.53072,19.776061,11.360420999999999,9.178599,7.807437999999999,8.752585999999999,,0.289209,0.1651115944633625,0.19418734692169792
1,36,29,,9357168591,39490915068,3.708200e-01,,59.684318,3.529531,19.145467,10.746546,8.723137000000001,8.032573000000001,7.829148,,0.287021,0.15036706268934277,0.17973200144332496
1,36,26,,8550401395,34462424880,3.685210e-01,,58.999104,3.623882,19.105782,9.963007999999999,8.719851,8.152493999999999,7.704615,,0.305326,0.18145314549846128,0.20835550722279877
1,36,23,,7531423233,31685890752,3.681620e-01,,60.642952,3.732903,19.330238,10.768377,9.618267,8.16194,7.294738,,0.316518,0.223069689462443,0.1804863302963647
1,36,20,,6504422332,28453227840,3.593320e-01,,61.154411,3.774629,19.530858,11.143051999999999,9.695117999999999,8.114146999999999,7.262103,,0.294151,0.2377033611908784,0.1508285310943477
1,36,18,,5821863935,26195499792,3.526120e-01,,55.184513,2.9530509999999994,20.628157,8.5037,8.919266,5.308212999999999,7.06358,,0.172223,0.2099588428067158,0.13602120105714377
1,36,16,,5157932373,23906248128,3.484900e-01,,54.884574,2.9479010000000003,20.339663,8.681422999999999,8.903452,5.320384,6.948112,,0.14922,0.21243744628112388,0.13475429045793597
1,36,14,,4485434791,21578664744,3.456590e-01,,58.232392,3.5194669999999997,20.982214,9.475298,9.103296,6.220539,7.1358429999999995,,0.177097,0.17730948369228133,0.14145378336482672
1,36,12,,3819978377,19174553712,3.411690e-01,,64.18084,3.763193,21.800694,11.905509,10.169665,7.9182429999999995,6.951694,,0.279244,0.16762458624790377,0.12830342655956362
1,36,10,,3161727352,16743254400,3.354790e-01,,57.436304,2.8288920000000006,21.804285,9.369152,9.528228,5.183215000000001,7.007266,,0.121181,0.16618723343441677,0.11517442630507961
1,36,8,,2486957923,14350235040,3.224280e-01,,62.072909,3.100873,23.310816,10.618310000000001,10.361233,5.794502,7.237208,,0.159004,0.17268368807671244,0.10706823712066531
1,36,6,,1828144367,11906984232,3.148050e-01,,62.746761,2.477406,25.597588,10.647874,10.542518,4.847536,7.158972,,0.123051,0.1294401231543176,0.11573013058139742
1,36,4,,1259144166,8162606592,3.037880e-01,,63.878974,2.599883,26.460017,10.945883,10.731017,5.098903,6.532947999999999,,0.113881,0.12269388772029675,0.09958601224230114
1,36,2,,678742399,3959825472,2.819080e-01,,59.778412,2.75061,25.577143,10.322658,10.081996,5.3579300000000005,4.456969,,0.099264,0.10324855790141957,0.09605946996645816
1,36,1,,395973543,1916915544,2.537000e-01,,58.10447,3.233523,24.302852,10.253247,10.162478,6.181595,2.915629,,0.084306,0.06807209828634936,0.08093843909066867
1,36,1,,395973543,1916915544,2.537000e-01,,58.10447,3.233523,24.302852,10.253247,10.162478,6.181595,2.915629,,0.084306,0.06807209828634936,0.08093843909066867
1,36,1,,395973543,1916915544,2.537000e-01,,58.10447,3.233523,24.302852,10.253247,10.162478,6.181595,2.915629,,0.084306,0.06807209828634936,0.08093843909066867
