"#n iters","initial #n node","rule"
13,14,"step_erase_create"

"#n thread per rank","#n task per node","#n node","#n object","total_proba","execution time","pre-symbolic","symbolic_iteration","collisions","pre-final","final_iteration","communication"
1,36,41,84669958,1.000000e+00,15.403825,0.641046,4.277678,8.377368,0.009899,0.023156000000000003,5.687169000000001
1,36,38,84669958,1.000000e+00,16.227298,0.739826,4.617687,8.815895000000001,0.010642,0.024969,5.914429
1,36,35,84669958,1.000000e+00,17.574325,0.6752309999999999,5.01809,9.678073,0.010958,0.026237999999999997,6.358083000000001
1,36,32,84669958,1.000000e+00,18.51723,0.7224590000000001,5.485211,9.60717,0.01294,0.029078999999999997,5.890790999999999
1,36,29,84669958,1.000000e+00,18.661417,0.6758740000000001,6.049279,10.357410000000002,0.013233,0.035721,6.077799
1,36,26,84669958,1.000000e+00,19.73429,0.7990419999999999,6.745121,10.849028,0.013948,0.033831,6.158612
1,36,23,84669958,1.000000e+00,22.132194,0.8143119999999999,7.623258,11.965084000000001,0.01573,0.037206,6.456082
1,36,20,84669958,1.000000e+00,24.784041,0.848851,8.755796,13.575543,0.018548000000000002,0.042885,6.999815
1,36,18,84669958,1.000000e+00,27.520748,0.8505620000000002,9.734239,14.641324000000001,0.020763,0.050036,7.048506000000001
1,36,16,84669958,1.000000e+00,30.168817,0.7744579999999999,10.946515,16.592544000000004,0.024487,0.053532,7.718071
1,36,14,84669958,1.000000e+00,33.694742,0.925201,12.512486,18.238401,0.026996000000000003,0.060236,8.088457
1,36,12,84669958,1.000000e+00,39.148927,1.094946,14.60074,21.110084,0.030397999999999998,0.068219,9.057034000000002
1,36,10,84669958,1.000000e+00,46.395433,1.3022360000000002,17.523687,24.917676999999998,0.036773999999999994,0.07868,10.397947
1,36,8,84669958,1.000000e+00,57.478296,1.4313259999999999,21.890331,30.596094,0.044057000000000006,0.095297,12.254402
1,36,6,84669958,1.000000e+00,74.82279,1.622625,29.176186,39.78332,0.05715,0.118564,15.240654000000001
1,36,4,84669958,1.000000e+00,108.694749,2.3624929999999993,43.701972,56.26643000000001,0.076738,0.171226,20.499019
