"#n iters","initial #n node","rule"
7,15,"step_erase_create"

"#n thread per rank","#n task per node","#n node","#n object","execution time","max step 0","max step 1","max step 2","max step 3","max step 4","max step 5","max step 6","max step 7","max step 8",,"min step 0","min step 1","min step 2","min step 3","min step 4","min step 5","min step 6","min step 7","min step 8"
64,1,1,2000000,82.234341,0.06228,7.229788,31.502031,40.650275,2.164591,0.275655,0.272862,1.4e-05,0.025455,,0.06228,7.229788,31.502031,40.650275,2.164591,0.275655,0.272862,1.4e-05,0.025455
32,2,1,2000000,76.97844,0.09312,3.326815,22.372998,49.545769,1.462458,0.054858,0.098229,6.6e-05,0.00163,,0.093116,3.222396,22.280445,49.273239,1.407691,0.052671,0.090721,6.1e-05,0.00159
16,4,1,2000000,72.570934,0.111748,2.979389,22.479096,45.294401,1.539948,0.063119,0.074419,9.9e-05,0.001557,,0.111732,2.841106,22.187725,45.217053,1.310658,0.051969,0.068943,6.6e-05,0.00153
8,8,1,2000000,64.36636,0.089025,2.727504,22.617983,37.38109,1.399219,0.051881,0.068435,0.000139,0.001558,,0.088995,2.632095,22.260491,37.125063,1.237406,0.03841,0.050625,7.7e-05,0.001525
4,16,1,2000000,59.959927,0.047941,2.698951,22.795734,32.876339,1.416954,0.040793,0.0717,0.000193,0.001591,,0.047867,2.371784,22.273466,32.347148,1.167131,0.022898,0.050126,0.000133,0.001517
2,32,1,2000000,59.521292,0.040929,2.603272,24.412161,30.80999,1.539472,0.036154,0.065387,0.000288,0.001601,,0.04079,2.493041,22.293962,30.110308,1.179267,0.025662,0.041371,0.000228,0.00151
1,64,1,2000000,57.702877,0.045041,2.637633,22.750594,30.285108,1.858423,0.03309,0.077543,0.000306,0.001597,,0.044614,2.488713,22.123681,28.995824,0.966994,0.023757,0.048145,0.000234,0.00147
32,1,1,2000000,116.963278,0.05539,8.520097,44.49041,60.798351,2.815746,0.071541,0.175553,1.7e-05,0.003581,,0.05539,8.520097,44.49041,60.798351,2.815746,0.071541,0.175553,1.7e-05,0.003581
16,2,1,2000000,119.101018,0.095762,4.047383,44.484406,67.37946,2.869622,0.099702,0.099945,7.8e-05,0.002533,,0.095753,3.902979,44.274498,67.273222,2.450964,0.090999,0.092828,6.3e-05,0.002487
8,4,1,2000000,111.431406,0.063116,3.293863,44.193033,60.864005,2.790576,0.076763,0.119768,7.4e-05,0.008197,,0.063103,3.166662,43.819104,60.512707,2.431612,0.06265,0.110045,4.8e-05,0.008156
4,8,1,2000000,107.016554,0.071844,3.271935,44.743461,55.924497,2.755859,0.081681,0.152627,0.000138,0.002473,,0.071807,3.155314,43.962265,53.787532,2.235668,0.04483,0.081443,8.2e-05,0.002402
2,16,1,2000000,103.455049,0.066089,3.237565,44.899547,52.124146,2.908786,0.074879,0.128885,0.000149,0.002433,,0.066011,3.071352,44.12605,50.148906,2.349982,0.039967,0.076532,0.000117,0.002368
1,32,1,2000000,100.221933,0.066498,3.182176,44.767665,48.519848,3.478756,0.061206,0.128329,0.000233,0.002477,,0.066344,2.978569,43.769197,48.17941,1.939151,0.036027,0.075089,0.000188,0.002342
16,1,1,2000000,212.853293,0.077153,9.371788,88.924937,108.800754,5.281226,0.154057,0.218288,1.9e-05,0.004988,,0.077153,9.371788,88.924937,108.800754,5.281226,0.154057,0.218288,1.9e-05,0.004988
8,2,1,2000000,201.211441,0.201494,5.270386,88.645485,101.133222,5.31506,0.277111,0.259029,5.5e-05,0.049408,,0.20149,5.024481,87.85978,100.708661,4.937778,0.112522,0.164009,5.2e-05,0.038371
4,4,1,2000000,198.151995,0.093325,4.697096,87.794675,99.819448,5.33431,0.138836,0.250016,9.8e-05,0.004314,,0.093308,4.59642,87.118993,97.227116,4.681028,0.119745,0.209624,4.5e-05,0.004273
2,8,1,2000000,194.657925,0.099871,4.715936,88.362508,95.58458,5.506117,0.132552,0.231871,0.000115,0.004394,,0.099841,4.434357,87.087257,92.76911,4.683737,0.080778,0.141623,7.2e-05,0.004332
1,16,1,2000000,191.993535,0.100949,4.720633,89.420201,91.096984,6.283451,0.117557,0.228047,0.000138,0.004348,,0.100895,4.481014,87.903884,90.56994,4.039228,0.074979,0.149854,0.000105,0.004274
8,1,1,2000000,419.01513,0.130546,12.335696,176.946064,218.681303,10.100553,0.284576,0.48957,2.3e-05,0.008977,,0.130546,12.335696,176.946064,218.681303,10.100553,0.284576,0.48957,2.3e-05,0.008977
4,2,1,2000000,329.774521,0.151578,5.321883,174.7691,139.459744,9.366068,0.250994,0.426581,7.6e-05,0.005699,,0.151574,5.255644,173.473299,139.303428,8.834692,0.23462,0.389261,5.2e-05,0.005667
2,4,1,2000000,330.431146,0.158412,4.741065,174.236914,140.758327,9.840452,0.239074,0.42654,7.8e-05,0.005677,,0.158403,4.670593,172.895123,140.196487,7.92902,0.205134,0.3644,6.5e-05,0.005627
1,8,1,2000000,328.473464,0.159077,4.816051,176.373959,135.912591,10.535846,0.227595,0.41669,9.8e-05,0.005754,,0.159047,4.469256,173.074041,134.865754,7.208657,0.160634,0.313474,6.9e-05,0.00566
4,1,1,2000000,807.812728,0.246535,13.280389,352.015198,423.793641,17.220502,0.467755,0.731132,2.6e-05,0.012219,,0.246535,13.280389,352.015198,423.793641,17.220502,0.467755,0.731132,2.6e-05,0.012219
2,2,1,2000000,611.572262,0.269766,6.590667,349.417123,237.41118,16.598798,0.467587,0.764315,6.2e-05,0.009553,,0.269762,6.118196,347.334066,235.996687,14.87238,0.4478,0.719893,4e-05,0.009501
1,4,1,2000000,596.464115,0.281992,5.57899,346.041922,225.97239,17.289018,0.444468,0.801034,7.3e-05,0.009565,,0.281972,4.998221,342.119485,224.119431,12.741417,0.373363,0.632602,5e-05,0.00949
2,1,1,2000000,1555.037113,0.485397,15.646042,707.066055,803.255498,26.366542,0.792561,1.315188,2.9e-05,0.019338,,0.485397,15.646042,707.066055,803.255498,26.366542,0.792561,1.315188,2.9e-05,0.019338
1,2,1,2000000,1209.74796,0.505062,9.196571,700.489428,469.630732,27.720087,0.843796,1.263845,8.7e-05,0.018704,,0.505057,8.661193,699.090486,466.755281,23.747894,0.732156,1.180959,7e-05,0.018623
1,1,1,2000000,2214.901869,0.93955,22.699793,1410.173627,733.961087,43.27213,1.382222,2.262203,2.3e-05,0.038669,,0.93955,22.699793,1410.173627,733.961087,43.27213,1.382222,2.262203,2.3e-05,0.038669
