"#n iters","initial #n node","rule"
9,14,"step_split_merge"

"#n thread per rank","#n task per node","#n node","","#n object","#n symb. object","total_proba","","execution time","pre-symbolic","symbolic_iteration","collisions","pre-final","final_iteration","communication","","time inbalance","NoO inbalance","NoO symb. inbalance"
1,36,41,,8767200831,21490436016,1.037680e-01,,41.389029,8.586455,5.88418,8.05332,5.654627,3.181978,10.78594,,23.153874,0.1879332681707467,0.32433612392786465
1,36,38,,8228056723,20302645320,9.932730e-02,,41.327502,6.412104,5.995749,7.962953000000001,6.258991,3.219611,8.336228,,26.772876,0.17591532956379932,0.3303006444424409
1,36,35,,7523652236,14221621260,9.094370e-02,,40.845231,11.171677,4.530101,6.2551570000000005,5.291688,3.141571,12.581919,,24.448545,0.26786346722835475,0.43694329125997583
1,36,32,,7058539713,16587830016,9.042040e-02,,45.205326,10.621089000000001,5.792811,7.545964,6.648562,3.259569,12.257037,,24.040752,0.2849519690361481,0.3703211689761488
1,36,29,,6490557738,17198158608,8.972980e-02,,45.520133,9.242346,6.658781,7.998676,6.992940000000001,3.328463,10.590698,,23.82449,0.23633727889815231,0.2776082451948081
1,36,26,,5732599341,12984803208,8.418640e-02,,44.834026,10.292510000000002,5.582351,6.876975,6.579238999999999,3.25175,11.516796,,26.335637,0.25648894126433985,0.3634671476044329
1,36,23,,5107843370,14175932976,8.612000e-02,,44.040557,9.851638,6.908829,7.740004,6.2982070000000006,3.286069,10.874662,,21.584143,0.21555019874475825,0.2951912745571864
1,36,20,,4443796638,10402872480,7.703720e-02,,43.887792,8.926787,5.818799,6.735651000000001,6.893016,3.2748060000000003,9.730965,,26.855715,0.22119284972126524,0.356204985162147
1,36,18,,4302374093,9980159688,7.294320e-02,,35.979532,7.580876999999999,6.209754,6.671131,5.504014000000001,3.430657,8.036043,,17.021727,0.20960497871884828,0.25924980571606004
1,36,16,,3663072261,10100130624,6.811840e-02,,42.335181,7.955436,7.085644,7.591951,6.132475,3.315619,8.528148,,23.226185,0.1846128638383786,0.3149375995609337
1,36,14,,3240882423,8336419056,6.468010e-02,,37.29271,7.741828999999999,6.644662,6.72173,5.069522,3.3108839999999997,8.023967,,19.751583,0.15384335862007634,0.2875099288910484
1,36,12,,2822395187,7117568496,6.220210e-02,,37.143334,6.809264,6.629865,6.574763999999999,5.605714,3.34666,7.099691,,20.897575,0.0965642296029828,0.30429281679724735
1,36,10,,2285951113,5847533640,5.479220e-02,,42.683758,7.92408,6.538639,6.732248,6.9965839999999995,3.3435639999999998,8.078289,,25.092387,0.13144266533585197,0.3241101829691809
1,36,8,,1787289329,4335356448,5.406060e-02,,41.157307,9.985716000000002,6.031599,6.212159,5.824813000000001,3.096123,10.540252,,23.270727,0.20242946294250425,0.4194138723686545
1,36,6,,1425000793,2809608984,5.263650e-02,,32.346052,7.9369369999999995,5.222874,4.874224,4.000889,3.21266,7.66696,,20.522876,0.1915403875805212,0.3204636151571453
1,36,4,,877176445,1628349984,4.544350e-02,,30.340556,6.064742999999999,4.566495,4.279555,4.701213,2.800252,5.925478999999999,,24.882191,0.14755439055924288,0.4062668641579118
1,36,2,,588827704,906928128,3.789860e-02,,22.814039,3.8074599999999994,5.056777,3.783119,3.308038,3.324855,2.16183,,13.003095,0.02188093592812177,0.16823973709553108
1,36,1,,299531782,606923280,3.196210e-02,,22.431562,3.907607,6.772893,4.39686,3.1814400000000003,2.3752039999999996,1.499005,,5.433458,0.02214517159007592,1.2337486241923396e-05
