"#n iters","initial #n node","rule"
8,15,"step_split_merge"

"#n thread per rank","#n task per node","#n node","#n object","execution time","step 0","step 1","step 2","step 3","step 4","step 5","step 6","step 7","step 8"
64,1,1,30000000,78.861975,0.475966,7.766312,34.055103,7.545716,22.08674,3.802897,2.781339,8.8e-05,0.088581
32,2,1,30000000,63.02707,0.356824,0.855484,33.857109,7.02233,17.325897,1.376434,1.718948,0.227756,0.027129
16,4,1,30000000,61.523985,0.362109,0.757584,33.579399,6.326648,16.631187,0.897866,1.412511,1.284071,0.042806
8,8,1,30000000,62.566016,0.36861,0.759301,32.78746,8.493692,15.124774,0.585508,1.4369,2.763479,0.02522
4,16,1,30000000,57.262851,0.345477,0.628229,32.397943,7.501985,12.496708,0.405937,1.263019,2.003807,0.024925
2,32,1,30000000,57.698338,0.342574,0.646755,32.742301,8.364838,11.455033,0.344143,1.165992,2.415673,0.025742
1,64,1,30000000,59.882493,0.342447,0.650855,32.870534,10.771029,10.898116,0.271919,1.146382,2.7019,0.025122
32,1,1,30000000,120.255808,0.783149,6.743257,64.442306,6.385105,32.788401,3.446819,5.209629,9.1e-05,0.075211
16,2,1,30000000,124.20371,0.860529,1.455685,66.929606,11.245856,33.370627,1.358156,6.960299,1.516747,0.063557
8,4,1,30000000,120.473706,0.869871,1.435986,66.994501,11.79347,30.867003,1.280776,5.287394,1.396384,0.08636
4,8,1,30000000,115.370286,0.84522,0.992306,65.02562,15.974406,24.816109,0.803895,4.014071,2.438997,0.048325
2,16,1,30000000,113.511465,0.751013,0.964809,64.953608,15.936333,22.348389,0.547638,3.050296,4.511718,0.047956
1,32,1,30000000,113.282482,0.767767,1.737624,65.417822,16.099857,21.640286,0.566672,4.05194,2.576109,0.047645
16,1,1,30000000,229.637994,1.501939,7.602438,130.352061,12.734624,63.216203,4.283789,9.165087,9.3e-05,0.079122
8,2,1,30000000,230.69497,1.751504,2.465977,134.889231,15.696878,61.792116,1.928301,10.714491,0.485302,0.081355
4,4,1,30000000,217.820713,1.632148,1.674139,132.762481,18.785202,50.946189,1.678297,8.195226,1.294257,0.083744
2,8,1,30000000,220.868464,1.546885,1.250026,129.288549,29.36207,45.549845,1.335333,7.475701,4.226631,0.083416
1,16,1,30000000,214.751315,1.457159,1.465962,127.827552,27.942552,42.270704,0.972169,6.672698,5.356128,0.079964
8,1,1,30000000,429.47629,2.953965,9.64604,261.213621,17.989279,114.964664,6.706904,14.176115,0.000108,0.151911
4,2,1,30000000,423.571591,3.144563,3.168982,269.720846,23.550357,101.191681,2.764809,14.856458,3.574497,0.150124
2,4,1,30000000,419.617463,3.069261,2.821817,267.846127,30.969357,91.566269,2.583623,13.679135,5.517976,0.154123
1,8,1,30000000,431.70816,2.972319,2.359141,259.751843,48.842923,85.127147,2.092444,12.556382,16.267708,0.164143
4,1,1,30000000,766.773113,5.739722,10.253944,511.819155,22.362047,181.961659,8.934303,22.954488,0.000115,0.155916
2,2,1,30000000,789.335478,5.91734,3.251267,533.529213,31.532676,170.072291,4.800549,26.743011,10.420289,0.165664
1,4,1,30000000,803.54944,5.990057,3.081347,530.479025,49.267992,168.48703,4.328703,25.032519,13.914346,0.163156
2,1,1,30000000,1456.349154,11.341281,12.295859,1020.572796,29.448222,320.498501,14.475719,42.693804,0.000109,0.232728
1,2,1,30000000,1540.135118,13.315466,4.087954,1062.437011,50.962464,328.630006,8.259409,48.042984,17.511101,0.31043
1,1,1,30000000,2849.215775,22.181261,15.604537,2027.471691,37.634568,627.204906,25.703885,81.398832,0.000118,0.456556
